run_number,start_time,stop_time,elapsed_sec
00415,Tue Jul 23 11:06:11 2024,Tue Jul 23 11:11:20 2024,309
00416,Tue Jul 23 11:16:54 2024,Tue Jul 23 11:25:11 2024,497
00417,Tue Jul 23 11:29:48 2024,Tue Jul 23 11:35:22 2024,334
00418,Tue Jul 23 11:38:53 2024,Tue Jul 23 11:40:57 2024,124
00419,Tue Jul 23 11:44:36 2024,Tue Jul 23 11:54:36 2024,600
00420,Tue Jul 23 11:55:06 2024,Tue Jul 23 11:58:33 2024,207
00421,Tue Jul 23 12:00:02 2024,Tue Jul 23 12:13:16 2024,794
00422,Tue Jul 23 12:15:23 2024,Tue Jul 23 12:30:50 2024,927
00423,Tue Jul 23 12:35:44 2024,Tue Jul 23 12:36:17 2024,33
00424,Tue Jul 23 12:36:31 2024,Tue Jul 23 12:39:55 2024,204
00425,Tue Jul 23 12:40:10 2024,Tue Jul 23 12:46:35 2024,385
00426,Tue Jul 23 12:49:07 2024,Tue Jul 23 13:07:15 2024,1088
00427,Tue Jul 23 13:09:07 2024,Tue Jul 23 13:25:51 2024,1004
00428,Tue Jul 23 13:28:13 2024,Tue Jul 23 13:41:32 2024,799
00429,Tue Jul 23 13:43:20 2024,Tue Jul 23 13:54:26 2024,666
00430,Tue Jul 23 13:58:40 2024,Tue Jul 23 14:11:54 2024,794
00431,Tue Jul 23 14:16:53 2024,Tue Jul 23 14:58:10 2024,2477
00432,Tue Jul 23 15:01:38 2024,Tue Jul 23 15:02:33 2024,55
00433,Tue Jul 23 16:33:50 2024,Tue Jul 23 16:38:42 2024,292
00434,Tue Jul 23 16:39:25 2024,Tue Jul 23 16:45:50 2024,385
00435,Tue Jul 23 16:47:54 2024,Tue Jul 23 17:04:36 2024,1002
00436,Tue Jul 23 17:06:43 2024,Tue Jul 23 17:07:48 2024,65
00437,Tue Jul 23 17:08:09 2024,Tue Jul 23 17:16:10 2024,481
00438,Tue Jul 23 17:17:59 2024,Tue Jul 23 17:27:40 2024,581
00439,Tue Jul 23 17:29:08 2024,Tue Jul 23 17:46:09 2024,1021
00440,Tue Jul 23 17:48:49 2024,Tue Jul 23 18:05:18 2024,989
00500,Fri Aug  9 10:14:00 2024,Fri Aug  9 10:14:58 2024,58
00501,Fri Aug  9 10:33:57 2024,Fri Aug  9 10:36:32 2024,155
00502,Fri Aug  9 10:39:19 2024,Fri Aug  9 10:46:42 2024,443
00503,Fri Aug  9 10:47:41 2024,Fri Aug  9 10:50:09 2024,148
00504,Fri Aug  9 10:50:34 2024,Fri Aug  9 10:57:20 2024,406
00505,Fri Aug  9 10:58:10 2024,Fri Aug  9 11:09:48 2024,698
00506,Fri Aug  9 11:10:46 2024,Fri Aug  9 11:14:01 2024,195
00507,Fri Aug  9 11:16:53 2024,Fri Aug  9 11:19:20 2024,147
00508,Fri Aug  9 11:21:54 2024,Fri Aug  9 11:35:36 2024,822
00509,Fri Aug  9 11:37:33 2024,Fri Aug  9 11:38:03 2024,30
00510,Fri Aug  9 11:52:06 2024,Fri Aug  9 11:56:09 2024,243
00511,Fri Aug  9 12:00:44 2024,Fri Aug  9 12:02:47 2024,123
00512,Fri Aug  9 12:03:28 2024,Fri Aug  9 12:06:33 2024,185
00513,Fri Aug  9 12:09:21 2024,Fri Aug  9 12:19:37 2024,616
00514,Fri Aug  9 12:26:46 2024,Fri Aug  9 12:35:07 2024,501
00515,Fri Aug  9 12:36:35 2024,Fri Aug  9 12:38:48 2024,133
00516,Fri Aug  9 12:39:29 2024,Fri Aug  9 12:47:18 2024,469
00517,Fri Aug  9 12:49:16 2024,Fri Aug  9 12:55:03 2024,347
00518,Fri Aug  9 12:56:45 2024,Fri Aug  9 13:03:46 2024,421
00519,Fri Aug  9 13:05:42 2024,Fri Aug  9 13:16:11 2024,629
00520,Fri Aug  9 13:21:36 2024,Fri Aug  9 13:21:51 2024,15
00521,Fri Aug  9 13:24:46 2024,Fri Aug  9 13:33:04 2024,498
00522,Fri Aug  9 13:35:20 2024,Fri Aug  9 13:42:50 2024,450
00523,Fri Aug  9 13:48:44 2024,Fri Aug  9 14:08:22 2024,1178
00524,Mon Aug 12 10:14:12 2024,Mon Aug 12 10:15:15 2024,63
00525,Mon Aug 12 10:15:25 2024,Mon Aug 12 10:17:07 2024,102
00526,Mon Aug 12 10:17:20 2024,Mon Aug 12 10:21:29 2024,249
00527,Mon Aug 12 10:21:39 2024,Mon Aug 12 10:23:15 2024,96
00528,Mon Aug 12 10:26:07 2024,Mon Aug 12 10:37:13 2024,666
00529,Mon Aug 12 10:40:45 2024,Mon Aug 12 10:41:54 2024,69
00530,Mon Aug 12 10:44:47 2024,Mon Aug 12 10:49:37 2024,290
00531,Mon Aug 12 10:51:25 2024,Mon Aug 12 11:04:01 2024,756
00532,Mon Aug 12 11:06:28 2024,Mon Aug 12 11:14:49 2024,501
00533,Mon Aug 12 11:18:04 2024,Mon Aug 12 11:26:26 2024,502
00534,Mon Aug 12 11:37:48 2024,Mon Aug 12 11:38:28 2024,40
00535,Mon Aug 12 11:38:36 2024,Mon Aug 12 11:42:45 2024,249
00536,Mon Aug 12 11:45:26 2024,Mon Aug 12 11:49:27 2024,241
00537,Mon Aug 12 11:49:32 2024,Mon Aug 12 11:57:52 2024,500
00538,Mon Aug 12 11:59:30 2024,Mon Aug 12 12:00:21 2024,51
00539,Mon Aug 12 12:01:11 2024,Mon Aug 12 12:08:49 2024,458
00540,Mon Aug 12 12:11:20 2024,Mon Aug 12 12:19:00 2024,460
00542,Mon Aug 12 12:21:46 2024,Mon Aug 12 12:31:09 2024,563
00543,Mon Aug 12 12:41:57 2024,Mon Aug 12 12:44:26 2024,149
00544,Mon Aug 12 12:45:21 2024,Mon Aug 12 12:46:11 2024,50
00545,Mon Aug 12 12:46:17 2024,Mon Aug 12 12:48:18 2024,121
00546,Mon Aug 12 12:48:27 2024,Mon Aug 12 12:53:57 2024,330
00547,Mon Aug 12 12:57:34 2024,Mon Aug 12 13:03:59 2024,385
00548,Mon Aug 12 13:06:18 2024,Mon Aug 12 13:10:21 2024,243
00549,Mon Aug 12 13:11:31 2024,Mon Aug 12 13:13:36 2024,125
00550,Mon Aug 12 13:16:36 2024,Mon Aug 12 13:23:23 2024,407
00551,Mon Aug 12 13:25:41 2024,Mon Aug 12 13:40:53 2024,912
00552,Mon Aug 12 13:43:38 2024,Mon Aug 12 13:45:30 2024,112
00553,Mon Aug 12 13:45:38 2024,Mon Aug 12 13:52:05 2024,387
00554,Mon Aug 12 13:55:04 2024,Mon Aug 12 13:58:41 2024,217
00555,Mon Aug 12 13:59:40 2024,Mon Aug 12 14:01:33 2024,113
00556,Mon Aug 12 14:03:41 2024,Mon Aug 12 14:14:06 2024,625
00557,Mon Aug 12 14:37:00 2024,Mon Aug 12 14:55:27 2024,1107
00558,Mon Aug 12 14:55:37 2024,Mon Aug 12 14:57:36 2024,119
00559,Mon Aug 12 15:11:50 2024,Mon Aug 12 15:13:11 2024,81
00560,Mon Aug 12 15:13:20 2024,Mon Aug 12 15:15:53 2024,153
00561,Mon Aug 12 15:20:03 2024,Mon Aug 12 15:21:27 2024,84
00562,Mon Aug 12 15:26:45 2024,Mon Aug 12 15:28:14 2024,89
00563,Mon Aug 12 15:31:58 2024,Mon Aug 12 15:33:19 2024,81
00564,Mon Aug 12 15:37:01 2024,Mon Aug 12 15:41:34 2024,273
00565,Mon Aug 12 15:41:40 2024,Mon Aug 12 15:41:54 2024,14
00566,Mon Aug 12 15:42:03 2024,Mon Aug 12 15:42:31 2024,28
00567,Mon Aug 12 15:43:33 2024,Mon Aug 12 15:45:03 2024,90
00568,Mon Aug 12 16:07:47 2024,Mon Aug 12 16:08:15 2024,28
00569,Mon Aug 12 16:10:22 2024,Mon Aug 12 16:13:39 2024,197
00570,Mon Aug 12 16:13:56 2024,Mon Aug 12 16:16:46 2024,170
00571,Mon Aug 12 16:17:56 2024,Mon Aug 12 16:23:39 2024,343
00572,Mon Aug 12 16:26:44 2024,Mon Aug 12 16:32:20 2024,336
00573,Mon Aug 12 16:33:30 2024,Mon Aug 12 16:40:59 2024,449
00574,Mon Aug 12 16:43:33 2024,Mon Aug 12 17:02:05 2024,1112
00575,Mon Aug 12 17:05:18 2024,Mon Aug 12 17:11:06 2024,348
00576,Mon Aug 12 17:26:21 2024,Mon Aug 12 17:34:41 2024,500
00577,Mon Aug 12 17:37:23 2024,Mon Aug 12 17:43:38 2024,375
00578,Mon Aug 12 17:45:21 2024,Mon Aug 12 17:56:53 2024,692
00579,Mon Aug 12 17:57:52 2024,Mon Aug 12 18:07:41 2024,589
00580,Mon Aug 12 19:22:04 2024,Mon Aug 12 19:22:29 2024,25
00581,Mon Aug 12 19:23:14 2024,Mon Aug 12 19:24:08 2024,54
00582,Tue Aug 13 10:24:42 2024,Tue Aug 13 10:28:34 2024,232
00583,Tue Aug 13 10:33:05 2024,Tue Aug 13 10:40:25 2024,440
00584,Tue Aug 13 10:42:06 2024,Tue Aug 13 10:47:05 2024,299
00585,Tue Aug 13 10:49:42 2024,Tue Aug 13 10:49:59 2024,17
00586,Tue Aug 13 10:55:02 2024,Tue Aug 13 11:01:10 2024,368
00587,Tue Aug 13 11:07:50 2024,Tue Aug 13 11:11:05 2024,195
00588,Tue Aug 13 11:14:24 2024,Tue Aug 13 11:23:38 2024,554
00589,Tue Aug 13 11:25:58 2024,Tue Aug 13 11:27:19 2024,81
00590,Tue Aug 13 11:30:36 2024,Tue Aug 13 11:35:24 2024,288
00591,Tue Aug 13 11:40:20 2024,Tue Aug 13 11:40:34 2024,14
00592,Tue Aug 13 11:42:20 2024,Tue Aug 13 11:47:56 2024,336
00593,Tue Aug 13 11:49:26 2024,Tue Aug 13 11:52:36 2024,190
00594,Tue Aug 13 11:54:27 2024,Tue Aug 13 12:07:14 2024,767
00595,Tue Aug 13 12:09:15 2024,Tue Aug 13 12:18:08 2024,533
00596,Tue Aug 13 12:20:19 2024,Tue Aug 13 12:26:52 2024,393
00597,Tue Aug 13 12:28:08 2024,Tue Aug 13 12:28:21 2024,13
00598,Tue Aug 13 12:30:00 2024,Tue Aug 13 12:47:43 2024,1063
00599,Tue Aug 13 12:54:42 2024,Tue Aug 13 13:00:12 2024,330
00600,Tue Aug 13 13:02:36 2024,Tue Aug 13 13:05:20 2024,164
00601,Tue Aug 13 13:05:27 2024,Tue Aug 13 13:08:17 2024,170
00602,Tue Aug 13 13:10:22 2024,Tue Aug 13 13:13:39 2024,197
00603,Tue Aug 13 13:15:48 2024,Tue Aug 13 13:29:57 2024,849
00604,Tue Aug 13 13:31:44 2024,Tue Aug 13 13:48:24 2024,1000
00605,Tue Aug 13 13:56:38 2024,Tue Aug 13 14:02:27 2024,349
00606,Tue Aug 13 14:03:55 2024,Tue Aug 13 14:12:45 2024,530
00607,Tue Aug 13 14:14:08 2024,Tue Aug 13 14:33:34 2024,1166
00608,Tue Aug 13 14:41:34 2024,Tue Aug 13 14:47:22 2024,348
00609,Tue Aug 13 14:52:18 2024,Tue Aug 13 14:57:32 2024,314
00610,Tue Aug 13 14:57:40 2024,Tue Aug 13 15:04:53 2024,433
00611,Tue Aug 13 15:07:11 2024,Tue Aug 13 15:19:42 2024,751
00612,Tue Aug 13 15:21:08 2024,Tue Aug 13 15:34:00 2024,772
00613,Tue Aug 13 15:44:57 2024,Tue Aug 13 15:48:54 2024,237
00614,Tue Aug 13 15:50:22 2024,Tue Aug 13 15:57:45 2024,443
00615,Tue Aug 13 15:57:56 2024,Tue Aug 13 16:02:48 2024,292
00616,Tue Aug 13 16:04:32 2024,Tue Aug 13 16:15:15 2024,643
00617,Tue Aug 13 16:16:37 2024,Tue Aug 13 16:34:46 2024,1089
00618,Tue Aug 13 16:46:07 2024,Tue Aug 13 16:47:31 2024,84
00619,Tue Aug 13 16:59:04 2024,Tue Aug 13 17:04:55 2024,351
00620,Tue Aug 13 17:05:05 2024,Tue Aug 13 17:21:03 2024,958
