run, ts, ppac, f2pl, f3pl, hwtriga, hwtrigb, refp, reft
507, 23122732341, 2806520, 0, 4592, 5338, 28169, 0, 40680
507, 23122801246, 2806653, 0, 4592, 5339, 28170, 0, 40680
507, 23122960226, 2806889, 0, 4592, 5340, 28172, 0, 40680
507, 23127625038, 2807229, 0, 4592, 5341, 28173, 0, 40680
507, 23127712229, 2807401, 0, 4592, 5342, 28175, 0, 40680
507, 23127913515, 2807734, 0, 4593, 5343, 28177, 0, 40680
507, 23132631021, 2808150, 0, 4593, 5344, 28178, 0, 40680
507, 23132756709, 2808409, 0, 4594, 5345, 28182, 0, 40680
507, 23132830906, 2808542, 0, 4594, 5346, 28183, 0, 40680
507, 23132908336, 2808643, 0, 4594, 5347, 28186, 0, 40680
507, 23132965416, 2808721, 0, 4594, 5348, 28189, 0, 40680
507, 23133030230, 2808849, 0, 4594, 5349, 28190, 0, 40680
507, 23133103691, 2808994, 0, 4594, 5350, 28191, 0, 40680
507, 23134675162, 2809004, 0, 4594, 5351, 28192, 0, 40680
507, 23137630662, 2809050, 0, 4594, 5352, 28192, 1, 40680
507, 23137726470, 2809255, 0, 4594, 5353, 28194, 0, 40680
507, 23137960835, 2809618, 0, 4594, 5354, 28196, 0, 40680
507, 23138047179, 2809767, 0, 4595, 5355, 28198, 0, 40680
507, 23142633285, 2809928, 0, 4595, 5356, 28199, 0, 40680
507, 23142773959, 2810226, 0, 4595, 5357, 28200, 0, 40680
507, 23142859633, 2810362, 0, 4595, 5358, 28201, 0, 40680
507, 23142983449, 2810557, 0, 4595, 5359, 28203, 0, 40680
507, 23143094172, 2810757, 0, 4595, 5360, 28204, 0, 40680
507, 23147646994, 2810868, 0, 4595, 5361, 28205, 0, 40680
507, 23147703781, 2810984, 0, 4595, 5362, 28206, 0, 40680
507, 23147850593, 2811255, 0, 4595, 5363, 28208, 0, 40680
507, 23147901542, 2811338, 0, 4595, 5364, 28209, 0, 40680
507, 23148088493, 2811647, 0, 4595, 5365, 28211, 0, 40680
507, 23152635715, 2811735, 0, 4595, 5366, 28212, 0, 40680
507, 23152734821, 2811959, 0, 4595, 5367, 28215, 0, 40680
507, 23152944556, 2812283, 0, 4596, 5368, 28218, 0, 40680
507, 23153004703, 2812392, 0, 4598, 5369, 28219, 0, 40680
507, 23157618998, 2812609, 0, 4598, 5370, 28221, 0, 40680
507, 23157691041, 2812766, 0, 4599, 5371, 28224, 0, 40680
507, 23157774168, 2812940, 0, 4599, 5372, 28225, 0, 40680
507, 23157944737, 2813194, 0, 4599, 5373, 28227, 0, 40680
507, 23158003438, 2813301, 0, 4599, 5374, 28228, 0, 40680
507, 23158097915, 2813484, 0, 4599, 5375, 28230, 0, 40680
507, 23162671649, 2813627, 0, 4599, 5376, 28231, 0, 40680
507, 23162750591, 2813801, 0, 4599, 5377, 28234, 0, 40680
507, 23162810088, 2813905, 0, 4599, 5378, 28236, 0, 40680
507, 23162993001, 2814168, 0, 4599, 5379, 28238, 0, 40680
507, 23163085388, 2814333, 0, 4599, 5380, 28240, 0, 40680
507, 23167627310, 2814407, 0, 4600, 5381, 28241, 0, 40680
507, 23167828943, 2814780, 0, 4600, 5382, 28242, 0, 40680
507, 23167891446, 2814874, 0, 4600, 5383, 28244, 0, 40680
507, 23167961587, 2814976, 0, 4600, 5384, 28245, 0, 40680
507, 23168106986, 2815257, 0, 4600, 5385, 28247, 0, 40680
507, 23172819494, 2815686, 0, 4601, 5386, 28248, 0, 40680
507, 23172932502, 2815855, 0, 4603, 5387, 28250, 0, 40680
507, 23173009849, 2816001, 0, 4603, 5388, 28251, 0, 40680
507, 23173074094, 2816110, 0, 4603, 5389, 28252, 0, 40680
507, 23177608437, 2816156, 0, 4603, 5390, 28253, 0, 40680
507, 23177684647, 2816326, 0, 4604, 5391, 28257, 0, 40680
507, 23177845937, 2816663, 0, 4604, 5392, 28259, 0, 40680
507, 23177909684, 2816740, 0, 4604, 5393, 28261, 0, 40680
507, 23177995590, 2816885, 0, 4604, 5394, 28263, 0, 40680
507, 23178088189, 2817061, 0, 4604, 5395, 28265, 0, 40680
507, 23182619792, 2817125, 0, 4604, 5396, 28266, 0, 40680
507, 23182767727, 2817441, 0, 4604, 5397, 28268, 0, 40680
507, 23182849362, 2817588, 0, 4605, 5398, 28270, 0, 40680
507, 23182919567, 2817685, 0, 4606, 5399, 28272, 0, 40680
507, 23183043759, 2817915, 0, 4606, 5400, 28273, 0, 40680
507, 23187625702, 2818057, 0, 4606, 5401, 28280, 0, 40680
507, 23187698183, 2818210, 0, 4607, 5402, 28283, 0, 40680
507, 23187770598, 2818369, 0, 4607, 5403, 28284, 0, 40680
507, 23187893856, 2818553, 0, 4607, 5404, 28285, 0, 40680
507, 23187959325, 2818652, 0, 4607, 5405, 28286, 0, 40680
507, 23188036616, 2818799, 0, 4607, 5406, 28288, 0, 40680
507, 23188096931, 2818927, 0, 4608, 5407, 28290, 0, 40680
507, 23192639275, 2819014, 0, 4608, 5408, 28291, 0, 40680
507, 23192815518, 2819356, 0, 4609, 5409, 28295, 0, 40680
507, 23192981796, 2819616, 0, 4609, 5410, 28296, 0, 40680
507, 23193052021, 2819769, 0, 4609, 5411, 28299, 0, 40680
507, 23197607295, 2819857, 0, 4610, 5412, 28302, 0, 40680
507, 23197694741, 2820047, 0, 4610, 5413, 28303, 0, 40680
507, 23197909842, 2820410, 0, 4610, 5414, 28304, 0, 40680
507, 23197980559, 2820501, 0, 4610, 5415, 28305, 0, 40680
507, 23198057898, 2820641, 0, 4610, 5416, 28308, 0, 40680
507, 23202638019, 2820813, 0, 4610, 5417, 28309, 0, 40680
507, 23202693992, 2820941, 0, 4610, 5418, 28312, 0, 40680
507, 23202765451, 2821081, 0, 4610, 5419, 28314, 0, 40680
507, 23202910935, 2821306, 0, 4611, 5420, 28317, 0, 40680
507, 23202996596, 2821450, 0, 4611, 5421, 28318, 0, 40680
507, 23203072868, 2821598, 0, 4612, 5422, 28321, 0, 40680
507, 23207613149, 2821675, 0, 4612, 5423, 28323, 0, 40680
507, 23207711835, 2821897, 0, 4613, 5424, 28325, 0, 40680
507, 23207991559, 2822348, 0, 4613, 5425, 28327, 0, 40680
507, 23208097393, 2822543, 0, 4614, 5426, 28331, 0, 40680
507, 23212608520, 2822562, 0, 4614, 5427, 28332, 0, 40680
507, 23212722900, 2822829, 0, 4614, 5428, 28333, 0, 40680
507, 23212989748, 2823261, 0, 4614, 5429, 28335, 0, 40680
507, 23217747439, 2823779, 0, 4615, 5430, 28336, 0, 40681
507, 23217862043, 2823975, 0, 4615, 5431, 28337, 0, 40681
507, 23217935822, 2824077, 0, 4616, 5432, 28338, 0, 40681
507, 23217994451, 2824166, 0, 4616, 5433, 28339, 0, 40681
507, 23218056262, 2824279, 0, 4616, 5434, 28340, 0, 40681
507, 23222655383, 2824478, 0, 4617, 5435, 28342, 0, 40681
507, 23222741620, 2824644, 0, 4617, 5436, 28343, 0, 40681
507, 23223001844, 2825026, 0, 4617, 5437, 28345, 0, 40681
507, 23223099588, 2825203, 0, 4617, 5438, 28348, 0, 40681
507, 23227663922, 2825336, 0, 4617, 5439, 28349, 0, 40681
507, 23227733271, 2825508, 0, 4618, 5440, 28351, 0, 40681
507, 23227809844, 2825667, 0, 4618, 5441, 28353, 0, 40681
507, 23228015465, 2825969, 0, 4618, 5442, 28354, 0, 40681
507, 23232623204, 2826191, 0, 4618, 5443, 28356, 0, 40681
507, 23232695537, 2826347, 0, 4618, 5444, 28358, 0, 40681
507, 23232776415, 2826521, 0, 4618, 5445, 28359, 0, 40681
507, 23232881082, 2826695, 0, 4618, 5446, 28360, 0, 40681
507, 23232996402, 2826861, 0, 4618, 5447, 28362, 0, 40681
507, 23233089494, 2827035, 0, 4618, 5448, 28364, 0, 40681
507, 23234675161, 2827063, 0, 4618, 5449, 28365, 0, 40681
507, 23237622641, 2827097, 0, 4618, 5450, 28365, 1, 40681
507, 23237726675, 2827328, 0, 4618, 5451, 28366, 0, 40681
507, 23237867681, 2827561, 0, 4618, 5452, 28367, 0, 40681
507, 23237979639, 2827705, 0, 4618, 5453, 28369, 0, 40681
507, 23238087832, 2827926, 0, 4618, 5454, 28370, 0, 40681
507, 23242616552, 2827983, 0, 4618, 5455, 28371, 0, 40681
507, 23242689859, 2828139, 0, 4620, 5456, 28373, 0, 40681
507, 23242763848, 2828297, 0, 4621, 5457, 28374, 0, 40681
507, 23242862144, 2828435, 0, 4621, 5458, 28375, 0, 40681
507, 23242919763, 2828515, 0, 4621, 5459, 28377, 0, 40681
507, 23243005982, 2828663, 0, 4621, 5460, 28378, 0, 40681
507, 23243071825, 2828809, 0, 4621, 5461, 28382, 0, 40681
507, 23247687402, 2829052, 0, 4621, 5462, 28383, 0, 40681
507, 23247781559, 2829250, 0, 4622, 5463, 28387, 0, 40681
507, 23247930864, 2829445, 0, 4622, 5464, 28388, 0, 40681
507, 23248008105, 2829587, 0, 4622, 5465, 28390, 0, 40681
507, 23248076256, 2829732, 0, 4622, 5466, 28392, 0, 40681
507, 23252649618, 2829877, 0, 4623, 5467, 28393, 0, 40681
507, 23252762524, 2830114, 0, 4623, 5468, 28395, 0, 40681
507, 23252850911, 2830279, 0, 4624, 5469, 28398, 0, 40681
507, 23252935743, 2830391, 0, 4625, 5470, 28399, 0, 40681
507, 23252994078, 2830481, 0, 4625, 5471, 28400, 0, 40681
507, 23257720162, 2830889, 0, 4625, 5472, 28402, 0, 40681
507, 23257793971, 2831029, 0, 4625, 5473, 28404, 0, 40681
507, 23257942194, 2831250, 0, 4625, 5474, 28405, 0, 40681
507, 23258065934, 2831444, 0, 4625, 5475, 28407, 0, 40681
507, 23262743840, 2831783, 0, 4627, 5476, 28408, 0, 40681
507, 23262827163, 2831926, 0, 4627, 5477, 28409, 0, 40681
507, 23262932223, 2832072, 0, 4628, 5478, 28410, 0, 40681
507, 23263031558, 2832270, 0, 4629, 5479, 28413, 0, 40681
507, 23267672731, 2832537, 0, 4629, 5480, 28416, 0, 40681
507, 23267816176, 2832834, 0, 4629, 5481, 28422, 0, 40681
507, 23267907025, 2832959, 0, 4629, 5482, 28423, 0, 40681
507, 23267967710, 2833022, 0, 4629, 5483, 28424, 0, 40681
507, 23268026625, 2833124, 0, 4630, 5484, 28426, 0, 40681
507, 23268089672, 2833236, 0, 4630, 5485, 28428, 0, 40681
507, 23272644006, 2833339, 0, 4631, 5486, 28429, 0, 40681
507, 23272716593, 2833482, 0, 4631, 5487, 28431, 0, 40681
507, 23272804702, 2833634, 0, 4631, 5488, 28434, 0, 40681
507, 23272897516, 2833767, 0, 4632, 5489, 28435, 0, 40681
