run,ts,ppac,ppac_rate,f2pl,f2pl_rate,f3pl,f3pl_rate,hwtriga,hwtriga_rate,hwtrigb,hwtrigb_rate,refp,refp_rate,reft,reft_rate,livetime
342,610.999337,3827137,6263.73348,14,0.02291328,1867,3.0556498,10707,17.5237506,11977,19.6023126,0,0,611,1.00000109,0.8939634299
343,612.832924,3905862,6373.45326,32,0.05221652,1943,3.17052156,10731,17.5104822,12012,19.6007746,0,0,613,1.00027263,0.8933566434
344,228.891494,1360736,5944.89544,6,0.02621329,672,2.93588891,3691,16.1255446,4136,18.0696972,0,0,229,1.00047405,0.8924081238
345,587.982093,3618972,6154.90172,24,0.04081757,1832,3.11574114,10131,17.2301165,11283,19.1893599,0,0,588,1.00003045,0.8978994948
347,478.740665,2915380,6089.68532,22,0.0459539,1449,3.02669087,8229,17.1888469,9103,19.01447,0,0,479,1.0005417,0.9039876964
223,555.965924,1722301,3097.85353,20,0.03597343,617,1.10978025,2737,4.92296359,2820,5.07225332,0,0,556,1.00006129,0.9705673759
224,444.453024,1397599,3144.53705,20,0.04499913,501,1.12722824,2154,4.84640645,2232,5.02190306,0,0,444,0.99898072,0.9650537634
225,51.9088044,145403,2801.12404,2,0.03852911,46,0.88616952,230,4.43084758,234,4.5079058,0,0,52,1.00175684,0.9829059829
226,1001.9243,3235930,3229.71506,32,0.03193854,1093,1.09090078,4973,4.96344883,5155,5.14509928,0,0,1002,1.00007555,0.9646944714
348,343.191926,956096,2785.89304,16,0.04662114,353,1.02857898,1819,5.30024124,1870,5.44884613,0,0,343,0.99944076,0.9727272727
349,223.442167,615212,2753.33885,8,0.03580345,206,0.92193878,1086,4.86031805,1133,5.07066331,0,0,223,0.99802111,0.9585172109
350,746.081441,2111644,2830.313,18,0.02412605,738,0.98916815,3808,5.10400043,3926,5.26216011,0,0,746,0.99989084,0.9699439633
351,59.5447891,169611,2848.46084,4,0.06717632,65,1.09161525,296,4.97104792,304,5.10540057,0,0,60,1.00764485,0.9736842105
352,766.529727,2129337,2777.89227,38,0.04957407,794,1.03583719,3852,5.02524542,3955,5.15961725,0,0,767,1.00061351,0.9739570164
361,628.184387,1694721,2697.80822,24,0.03820534,621,0.98856325,3105,4.94281626,3210,5.10996464,0,0,628,0.99970648,0.9672897196
362,341.478274,924924,2708.58813,12,0.03514133,356,1.04252606,1713,5.01642457,1764,5.16577521,0,0,341,0.9985994,0.9710884354
364,308.191626,999967,3244.62742,16,0.05191575,375,1.21677544,1895,6.14877187,1966,6.37914802,0,0,308,0.99937822,0.9638860631
365,270.193266,918264,3398.5451,4,0.01480422,337,1.24725536,1672,6.1881631,1731,6.40652532,0,0,270,0.99928471,0.9659156557
366,644.686666,2172492,3369.84168,20,0.03102282,790,1.22540149,3918,6.07737092,4074,6.31934894,0,0,645,1.00048603,0.9617083947
367,443.84218,1440000,3244.39646,16,0.03604885,520,1.17158761,2577,5.80611784,2667,6.00889262,0,0,444,1.00035558,0.9662542182
368,688.835217,2255826,3274.84127,24,0.03484142,770,1.11782903,4114,5.9724008,4250,6.16983553,0,0,689,1.00023922,0.968
369,66.6966342,214030,3209.00751,2,0.02998652,73,1.09450801,406,6.0872637,422,6.32715587,0,0,66,0.98955518,0.9620853081
370,30.1462237,97965,3249.66075,0,0,29,0.96197787,190,6.30261362,200,6.63433012,0,0,30,0.99514952,0.95
371,71.5977417,241709,3375.9305,2,0.02793384,80,1.11735368,490,6.84379128,501,6.99742741,0,0,72,1.00561831,0.9780439122
372,68.602363,219712,3202.68851,2,0.02915351,73,1.06410329,396,5.77239591,410,5.97647052,0,0,69,1.00579626,0.9658536585
373,182.694908,585806,3206.47142,2,0.01094721,202,1.10566847,1080,5.91149482,1123,6.14685989,0,0,182,0.99619635,0.9617097061
374,558.183889,1751459,3137.78136,30,0.05374573,637,1.14120098,3290,5.89411494,3419,6.12522157,0,0,559,1.00146208,0.9622696695
375,145.344908,444555,3058.62109,14,0.0963226,182,1.25219385,865,5.9513609,888,6.10960518,0,0,145,0.99762697,0.9740990991
376,640.182993,1959116,3060.24374,26,0.04061339,748,1.16841592,3697,5.7749113,3820,5.96704386,0,0,640,0.99971415,0.9678010471
378,107.598502,336309,3125.59184,6,0.05576286,129,1.19890145,626,5.81792487,641,5.95733201,0,0,108,1.00373145,0.976599064
379,152.197715,479517,3150.61891,12,0.07884481,145,0.95270812,952,6.25502162,989,6.49812645,0,0,152,0.99870093,0.9625884732
380,101.646353,287896,2832.32984,4,0.03935212,102,1.00347919,572,5.62735387,592,5.8241145,0,0,102,1.00347919,0.9662162162
381,106.198315,322433,3036.14044,4,0.03766538,120,1.12996143,592,5.57447637,606,5.7063052,0,0,106,0.99813259,0.9768976898
382,105.676667,284753,2694.56832,4,0.03785131,111,1.05037377,545,5.15724061,563,5.32757149,0,0,106,1.00305964,0.9680284192
383,644.733871,1931475,2995.77095,22,0.03412261,698,1.08261723,3579,5.55112762,3704,5.74500607,0,0,645,1.00041277,0.9662526998
384,28.3479744,77662,2739.5961,2,0.07055178,33,1.16410434,145,5.11500392,152,5.36193514,0,0,28,0.98772489,0.9539473684
