Run		LEBT Current [nA]		LEBT Intensity [pps]		[enA]	Brho [Tm]				Beam Dump		F1 slit [mm]				F2 up slit [mm]				F2 down slit [mm]				F3 up slit [mm]				F3 down slit [mm]			
No.	Attenuator	Peak	Average	Peak	Average	Collimator	D1	D2	F2F3	d/R	L	R	xL	xR	yU	yD	xL	xR	yU	yD	xL	xR	yU	yD	xL	xR	yU	yD	xL	xR	yU	yD
150	-2	379	38	3.00E+11	3.00E+10		1.4104	1.3884	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
151	-2	-	-	-	-	-	-	-	-	-	-	-	-																			
152	-2	374	37	2.90E+11	2.90E+10		1.4104	1.3884	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
153	-2	374	37	2.90E+11	2.90E+10	485.22	1.4104	1.3884	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
154	-2	374	37	2.90E+11	2.81E+10		1.4104	1.3884	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
155	-2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
156	-2	360	36	2.90E+11	2.90E+10	451.5	1.4104	1.3884	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
157	-2	360	36	2.90E+11	2.90E+10	496.1	1.4104	1.3884	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
158	-2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
159	-2	378	37	2.90E+11	2.90E+10		1.4104	1.3884	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
160	-2	375	37	2.80E+11	2.80E+10		1.4104	1.3884	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
161	-2	365	36.5	2.80E+11	2.80E+10		1.4104	1.3884	1.3812	0.051	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
162	-2	378	37	2.90E+11	2.90E+10		1.3258	1.3074	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
163	-2	360	36	2.80E+11	2.80E+10		1.3258	1.3074	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
164	-2	360	36	2.80E+11	2.80E+10		1.3258	1.3074	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
165	-2	놓쳤다...					1.3258	1.3074	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
166	-2	360	36	2.80E+11	2.80E+10		1.3258	1.3074	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
167	-2	360	36	2.80E+11	2.80E+10		1.3258	1.3074	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
168	-2	360	36	2.80E+11	2.80E+10		1.3258	1.3074	1.3009	0.049	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
169	-2	360	36	2.80E+11	2.80E+10		1.4285	1.4043	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
170	-2	350	35	2.80E+11	2.80E+10		1.4285	1.4043	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
171	-2	350	35	2.80E+11	2.80E+10		1.4285	1.4043	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
172	-2	350	35	2.70E+11	2.70E+10		1.4285	1.4043	1.3964	0.055	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
173	-2	350	35	2.80E+11	2.80E+10	461	1.4856	1.4638	1.4567	0.048	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
174	-2	350	35	2.80E+11	2.80E+10		1.4856	1.4638	1.4567	0.048	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
175	-2	350	35	2.80E+11	2.80E+10	463	1.3735	1.3468	1.3380	0.062	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
176	-2	340	34	2.70E+11	2.70E+10		1.3735	1.3468	1.3380	0.062	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
177	-2	350	35	2.80E+11	2.80E+10	458	1.4010	1.3756	1.3672	0.059	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
178	-2	350	35	2.80E+11	2.80E+10	473	1.4560	1.4330	1.4254	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
179	-2	340	34	2.70E+11	2.70E+10		1.4560	1.4330	1.4254	0.052	210	210	190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45
